Gebied,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11
Oostenrijk,2.9,2.8,2.6,2.4,2.1,2.4,2.2,2.1,2.0,1.8,1.5,1.5,2.0,1.5,1.5,1.5,1.6,1.5,1.7,1.7,1.5,1.4,1.4,1.5,0.8,0.5,0.5,0.9,0.9,1.0,1.0,1.1,1.0,0.6,0.7,0.5,1.1,1.4,1.0,0.7,0.6,0.6,0.6,0.6,0.6,1.1,1.4,1.5,1.6,2.1,2.4,2.1,2.3,2.1,2.0,2.0,2.1,2.5,2.4,2.4,2.3,1.9,1.9,2.0,2.0,2.1,2.3,2.3,2.3,2.1,2.4,2.3,1.7,1.7,1.4,1.7,1.7,1.7,1.6,1.4,1.5,1.2,1.0,1.2,1.8,2.2,2.2,1.6,1.5,0.6,1.1,1.8,1.4,1.2,1.1,1.1,1.0,1.1,1.4,2.0,1.9,3.0,2.8,2.8,3.2,3.3,3.8,4.1,3.8,4.5,5.5,6.6,7.1,7.7,8.7,9.4,9.3,11.0,11.6,11.2
België,2.1,1.5,1.5,1.4,1.2,1.2,1.6,1.6,1.1,1.0,0.7,0.9,1.2,1.1,0.8,0.8,0.8,0.7,0.6,0.5,0.4,0.2,0.3,0.1,-0.4,-0.6,-0.4,-0.1,0.4,0.8,0.9,0.9,0.8,0.9,1.2,1.4,1.5,1.8,1.1,1.6,1.5,1.6,1.8,2.0,2.0,1.8,1.9,1.7,2.2,3.1,3.3,2.5,2.7,1.9,1.5,1.8,2.0,2.0,1.8,2.1,2.1,1.8,1.5,1.5,1.6,2.3,2.6,2.7,2.6,2.8,3.2,2.9,2.2,1.8,2.0,2.2,2.0,1.7,1.3,1.2,0.9,0.6,0.2,0.4,0.9,1.4,1.0,0.4,0.0,-0.2,0.2,1.7,-0.9,0.5,0.4,0.2,0.4,0.6,0.3,1.6,2.1,2.5,2.6,1.4,4.7,3.8,5.4,7.1,6.6,8.5,9.5,9.3,9.3,9.9,10.5,10.4,10.5,12.1,13.1,10.5
Bulgarije,2.8,2.6,2.2,1.6,0.9,1.0,1.2,0.0,-0.7,-1.3,-1.1,-1.0,-0.9,-1.4,-2.1,-2.0,-1.3,-1.8,-1.8,-1.1,-1.0,-1.4,-1.5,-1.9,-2.0,-2.4,-1.7,-1.1,-0.9,-0.3,-0.6,-1.0,-0.8,-1.0,-1.2,-0.9,-0.9,-0.4,-1.0,-1.9,-2.5,-2.5,-1.9,-1.1,-1.1,-1.1,-1.0,-0.8,-0.5,0.4,0.9,1.0,1.7,1.4,1.1,0.6,0.7,1.3,1.5,1.9,1.8,1.3,1.5,1.9,1.7,2.3,3.0,3.6,3.7,3.6,3.6,3.0,2.3,2.3,2.4,2.8,3.1,2.9,2.3,2.6,2.5,1.6,1.6,2.2,3.1,3.4,3.1,2.4,1.3,1.0,0.9,0.4,0.6,0.6,0.6,0.3,0.0,-0.3,0.2,0.8,2.0,2.3,2.4,2.2,2.5,4.0,5.2,6.3,6.6,7.7,8.4,10.5,12.1,13.4,14.8,14.9,15.0,15.6,14.8,14.3
Cyprus,1.4,2.0,1.8,1.3,0.1,0.1,0.8,0.7,0.1,0.3,-0.5,-0.8,-1.3,-1.6,-1.3,-0.9,-0.4,-0.1,0.0,0.9,0.8,0.0,0.3,0.0,-1.0,-0.7,-0.8,-1.4,-1.7,-1.7,-2.1,-2.4,-1.9,-1.9,-1.8,-1.5,-0.6,-1.1,-2.2,-2.2,-2.1,-1.9,-2.0,-0.4,-0.6,-0.4,-1.0,-0.8,0.1,0.7,1.4,1.5,2.1,0.9,0.9,-0.1,0.5,0.1,0.4,0.2,-0.4,-1.5,-0.4,-0.4,-0.3,1.0,1.7,1.4,1.7,1.7,1.9,1.6,1.0,2.1,0.8,1.1,1.2,0.2,0.3,0.1,0.6,-0.5,-0.5,0.5,0.7,0.7,1.0,0.1,-1.2,-1.4,-2.2,-2.0,-2.9,-1.9,-1.4,-1.1,-0.8,-0.8,-0.9,0.3,1.2,1.5,2.2,2.7,3.3,3.6,4.4,4.7,4.8,5.0,5.8,6.2,8.6,8.8,9.0,10.6,9.6,9.0,8.6,8.1
Tsjechië,2.4,2.0,1.7,1.5,1.7,1.2,1.5,1.4,1.2,1.0,0.8,1.0,1.5,0.3,0.3,0.3,0.1,0.5,0.0,0.5,0.7,0.8,0.8,0.6,0.0,-0.1,0.0,0.1,0.5,0.7,0.9,0.5,0.2,0.3,0.1,0.0,-0.1,0.5,0.5,0.3,0.5,0.0,-0.1,0.5,0.6,0.5,0.8,1.6,2.1,2.3,2.6,2.6,2.1,2.5,2.4,2.4,2.4,2.5,2.8,2.5,2.2,2.1,1.6,1.6,1.8,2.0,2.4,2.2,2.4,2.1,2.0,1.6,1.6,2.0,2.4,2.6,2.4,2.6,2.4,2.6,2.6,2.6,2.6,3.0,3.2,3.8,3.7,3.6,3.3,3.1,3.4,3.6,3.5,3.3,2.9,2.8,2.4,2.2,2.1,2.3,3.1,2.7,2.5,2.7,3.1,4.0,4.8,4.8,5.4,8.8,10.0,11.9,13.2,15.2,16.6,17.3,17.1,17.8,15.5,17.2
Duitsland,2.1,1.9,1.8,1.9,1.1,1.5,2.0,2.0,1.5,1.5,1.2,1.6,1.2,1.1,1.0,0.7,1.1,0.7,0.9,0.7,0.8,0.8,0.7,0.5,0.1,-0.5,-0.2,0.3,1.0,1.6,1.1,1.3,1.1,0.8,1.2,0.2,0.2,0.4,-0.1,0.1,-0.3,-0.1,0.1,0.3,0.3,0.6,0.7,0.8,1.6,1.7,2.1,1.5,2.0,1.3,1.7,1.7,1.9,1.9,1.5,1.7,1.5,1.5,1.2,1.7,1.3,2.5,2.1,2.2,2.1,2.2,2.6,2.2,1.7,1.7,1.7,1.4,2.1,1.3,1.5,1.1,1.0,0.9,0.9,1.2,1.5,1.6,1.7,1.3,0.8,0.5,0.8,0.0,-0.1,-0.4,-0.5,-0.7,-0.7,1.6,1.6,2.0,2.1,2.4,2.1,3.1,3.4,4.1,4.6,6.0,5.7,5.1,5.5,7.6,7.8,8.7,8.2,8.5,8.8,10.9,11.6,11.3
Denemarken,1.9,0.9,1.1,0.7,0.5,0.7,0.6,0.4,0.1,0.1,0.4,0.2,0.5,0.8,0.3,0.2,0.5,0.3,0.4,0.5,0.3,0.3,0.2,0.3,0.1,-0.3,-0.1,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.1,0.1,0.3,0.4,0.1,-0.3,-0.3,-0.1,0.1,0.1,0.0,-0.3,0.1,0.1,0.3,0.7,0.9,0.9,1.0,0.7,0.4,1.5,1.5,1.6,1.4,1.3,0.8,0.6,0.5,0.4,0.7,1.0,1.1,0.9,0.8,0.5,0.7,0.7,0.7,1.2,1.1,1.2,0.9,0.7,0.5,0.4,0.5,0.4,0.6,0.6,0.8,0.8,0.7,0.3,-0.1,-0.2,0.2,0.4,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.9,1.5,1.9,1.9,1.7,1.8,2.4,3.2,3.8,3.4,4.9,5.3,6.0,7.4,8.2,9.1,9.6,9.9,11.1,11.4,9.7
Estland,3.6,3.7,4.0,3.8,3.4,3.6,4.1,4.0,3.6,2.6,2.2,2.1,2.0,1.6,1.1,0.7,0.8,0.6,0.3,0.0,-0.2,0.2,0.5,0.0,0.1,-0.5,-0.2,0.0,0.4,0.5,0.3,0.1,0.2,-0.3,0.0,0.5,-0.2,0.1,0.4,0.5,0.0,0.0,0.4,0.8,1.1,1.7,1.0,1.4,2.4,2.8,3.4,3.0,3.6,3.5,3.1,3.9,4.2,3.9,4.0,4.5,3.8,3.6,3.2,2.9,2.9,3.1,3.9,3.3,3.5,3.5,4.5,3.2,3.3,2.8,1.9,2.2,3.2,3.1,2.6,2.0,2.1,2.2,1.4,1.8,1.8,1.6,2.0,1.0,-0.9,-1.8,-1.6,-1.3,-1.3,-1.3,-1.7,-1.2,-0.9,0.3,0.5,0.9,1.6,3.2,3.7,4.9,5.0,6.4,6.8,8.6,12.0,11.0,11.6,14.8,19.1,20.1,22.0,23.2,25.2,24.1,22.5,21.4
Spanje,3.0,2.8,2.9,2.6,1.5,1.8,2.2,1.9,1.6,0.5,0.0,0.3,0.3,0.3,0.1,-0.2,0.3,0.2,0.0,-0.4,-0.5,-0.3,-0.2,-0.5,-1.1,-1.5,-1.2,-0.8,-0.7,-0.3,0.0,0.0,-0.5,-1.1,-0.9,-0.4,-0.1,-0.4,-1.0,-1.0,-1.2,-1.1,-0.9,-0.7,-0.3,0.0,0.5,0.5,1.4,2.9,3.0,2.1,2.6,2.0,1.6,1.7,2.0,1.8,1.7,1.8,1.2,0.7,1.2,1.3,1.1,2.1,2.3,2.3,2.2,2.3,2.3,1.7,1.2,1.0,1.1,1.3,1.6,0.9,0.6,0.6,0.4,0.2,0.2,0.5,0.8,1.1,0.9,0.1,-0.7,-0.9,-0.3,-0.7,-0.6,-0.6,-0.9,-0.8,-0.6,0.4,-0.1,1.2,2.0,2.4,2.5,2.9,3.3,4.0,5.4,5.5,6.6,6.2,7.6,9.8,8.3,8.5,10.0,10.7,10.5,9.0,7.3,6.7
Finland,3.4,2.6,2.4,2.5,2.4,2.5,2.3,2.5,2.1,1.8,1.7,1.8,1.9,1.9,1.6,1.3,1.3,1.0,1.1,1.0,1.2,1.5,1.2,1.1,0.6,-0.1,-0.1,0.0,-0.1,0.1,0.1,-0.1,-0.2,-0.7,-0.3,-0.2,-0.2,0.0,-0.1,0.0,0.3,0.3,0.3,0.5,0.5,0.5,0.6,0.6,1.1,0.9,1.4,0.9,1.0,0.9,0.9,0.6,0.8,0.8,0.5,0.9,0.5,0.8,0.6,0.9,0.8,1.0,1.2,1.4,1.4,1.4,1.7,1.4,1.3,1.2,1.3,1.1,1.5,1.3,1.1,1.0,1.2,1.0,0.9,0.8,1.1,1.2,1.1,0.9,-0.3,-0.1,0.1,0.7,0.3,0.3,0.2,0.2,0.2,1.0,0.9,1.4,2.2,2.3,1.9,1.8,1.8,2.1,2.8,3.5,3.2,4.1,4.4,5.8,5.8,7.1,8.1,8.0,7.9,8.4,8.4,9.1
